Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
dunkin donuts,1,1,2740000,88.99,2.24,https://www.dunkindonuts.com/,2192000,37.27,4910080,0.09,35000000,"[55,45,45,45,45,55,45,45,55,55,82,100]",8/30/2020,"Knowledge panel, Top stories, Image pack, Tweet, Video Carousel, People also ask"
dunkin donuts near me,1,1,823000,83.58,2.32,https://www.dunkindonuts.com/en/locations,658400,11.19,1527488,0.01,85,"[100,100,100,82,82,82,82,67,67,67,82,100]",8/30/2020,"Local pack, Image pack, Site links, People also ask"
dunkin donuts menu,1,1,550000,86.33,1.78,https://www.dunkindonuts.com/en/menu,440000,7.48,783200,0.02,30200000,"[55,55,55,67,67,55,55,55,55,67,82,100]",8/30/2020,"Image pack, Video, FAQ"
donuts,1,1,823000,81.85,1.54,https://www.dunkindonuts.com/,386810,6.57,595687,0.04,321000000,"[82,82,82,82,82,67,82,82,67,67,82,100]",8/30/2020,"Local pack, Top stories, Image pack, Site links, Image, Video Carousel"
dd,1,1,301000,84.47,2.53,https://www.dunkindonuts.com/,240800,4.09,609224,0.02,871000000,"[67,67,55,55,55,67,55,55,67,67,100,82]",8/30/2020,"Knowledge panel, Video Carousel, People also ask"
dunkin,1,1,246000,86.33,1.23,https://www.dunkindonuts.com/,196800,3.34,242064,0.07,29900000,"[30,30,30,30,37,37,30,30,45,45,82,100]",8/30/2020,"Knowledge panel, Local pack, Top stories, Image pack, Tweet, People also ask, FAQ"
dunkin near me,1,1,90500,85.14,2.68,https://www.dunkindonuts.com/en/locations,72400,1.23,194032,0.01,29700000,"[37,37,37,37,55,82,45,55,55,55,82,100]",8/30/2020,"Local pack, Image pack, Video"
dunkin donuts hours,1,1,74000,84.41,1.19,https://www.dunkindonuts.com/en/locations,59200,1,70448,0,31800000,"[55,45,45,55,82,100,67,55,82,82,100,82]",8/30/2020,"Image pack, Site links"
dunkindonuts,1,1,60500,91.29,2.27,https://www.dunkindonuts.com/,48400,0.82,109868,0.1,16400000,"[82,67,67,67,82,82,67,67,82,82,100,100]",8/30/2020,"Knowledge panel, Tweet, People also ask, FAQ"
dunkin menu,1,1,49500,87.88,1.73,https://www.dunkindonuts.com/en/menu,39600,0.67,68508,0,28200000,"[37,37,37,37,45,45,45,45,45,55,82,100]",8/30/2020,"Image pack, Video Carousel"
donuts near me,7,7,673000,80.79,2.62,https://www.dunkindonuts.com/en/locations,26920,0.45,70530,0.08,294000000,"[82,82,82,82,82,82,82,82,67,67,82,100]",8/30/2020,"Local pack, Image pack"
dunkin donuts near me,2,2,823000,83.58,2.32,https://www.dunkindonuts.com/en/menu,21398,0.36,49643,0.01,85,"[100,100,100,82,82,82,82,67,67,67,82,100]",8/30/2020,"Local pack, Image pack, Site links, People also ask"
nearest dunkin donuts,1,1,27100,84.68,1.63,https://www.dunkindonuts.com/en/locations,21680,0.36,35338,0.01,31900000,"[100,100,82,82,82,67,67,67,55,37,67,82]",8/30/2020,"Local pack, Image pack, People also ask"
donuts near me,8,0,673000,80.79,2.62,https://www.dunkindonuts.com/,20190,0.34,52897,0.08,294000000,"[82,82,82,82,82,82,82,82,67,67,82,100]",8/30/2020,"Local pack, Image pack"
dunkin donuts nutrition,1,1,22200,83.21,0,https://www.dunkindonuts.com/en/menu/nutrition,17760,0.3,0,0,0,"[100,100,100,55,55,37,55,55,55,55,82,82]",8/30/2020,"Knowledge panel, Carousel, Image pack, Video, People also ask"
dunkin donuts delivery,1,1,22200,86.08,1.97,https://www.dunkindonuts.com/en/dunkin-delivers,17760,0.3,34987,0.39,18900000,"[37,30,30,37,37,37,37,45,67,100,82,55]",8/30/2020,"Image pack, AdWords top, People also ask, FAQ"
dunkin donuts coffee,1,1,22200,89.46,3.91,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,17760,0.3,69441,1,16900000,"[55,55,67,67,67,67,67,67,82,100,82,82]",8/30/2020,"Knowledge panel, Image pack, Site links, Tweet, Image, Video Carousel, People also ask, FAQ"
dunkin donuts near me,3,0,823000,83.58,2.32,https://www.dunkindonuts.com/,14814,0.25,34368,0.01,85,"[100,100,100,82,82,82,82,67,67,67,82,100]",8/30/2020,"Local pack, Image pack, Site links, People also ask"
dunkin donuts locations,1,1,18100,84.71,1.24,https://www.dunkindonuts.com/en/locations,14480,0.24,17955,0.01,33700000,"[67,55,55,67,82,82,67,67,67,67,82,100]",8/30/2020,"Tweet, People also ask"
dunkin donuts gift card,1,1,18100,81.34,1.62,https://www.dunkindonuts.com/en/dd-cards/gift-cards,14480,0.24,23457,0.51,1630000,"[20,20,20,20,37,100,30,30,20,37,45,37]",8/30/2020,"Shopping ads, Video Carousel, People also ask"
dunkin donuts near me now,1,1,18100,83.35,2.05,https://www.dunkindonuts.com/en/locations,14480,0.24,29684,0.01,83,"[100,100,100,82,100,100,67,82,67,55,67,82]",8/30/2020,"Local pack, Image pack"
dunkin donuts menu,2,2,550000,86.33,1.78,https://www.dunkindonuts.com/,14300,0.24,25454,0.02,30200000,"[55,55,55,67,67,55,55,55,55,67,82,100]",8/30/2020,"Image pack, Video, FAQ"
dunkin donuts gift card balance,1,1,14800,68.9,1.51,https://www.dunkindonuts.com/en/dd-cards/check-balance,11840,0.2,17878,0.01,404000,"[45,45,37,45,45,100,82,55,45,37,45,45]",8/30/2020,"Video Carousel, People also ask"
dunkin donuts iced coffee,1,1,14800,88.12,3.86,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,11840,0.2,45702,0.63,1980000,"[82,67,67,55,45,45,55,67,82,100,100,100]",8/30/2020,"Image pack, Site links, Tweet, Video, Image, Video Carousel, People also ask"
dunkin hours,1,1,14800,83.29,0,https://www.dunkindonuts.com/en/locations,11840,0.2,0,0,27200000,"[45,45,45,45,55,67,45,45,67,82,100,100]",8/30/2020,Site links
