,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
0,dunkin donuts,1,1,2740000,88.99,2.24,https://www.dunkindonuts.com/,2192000,37.27,4910080,0.09,35000000,8/30/2020
1,dunkin donuts near me,1,1,823000,83.58,2.32,https://www.dunkindonuts.com/en/locations,658400,11.19,1527488,0.01,85,8/30/2020
2,dunkin donuts menu,1,1,550000,86.33,1.78,https://www.dunkindonuts.com/en/menu,440000,7.48,783200,0.02,30200000,8/30/2020
3,donuts,1,1,823000,81.85,1.54,https://www.dunkindonuts.com/,386810,6.57,595687,0.04,321000000,8/30/2020
4,dd,1,1,301000,84.47,2.53,https://www.dunkindonuts.com/,240800,4.09,609224,0.02,871000000,8/30/2020
5,dunkin,1,1,246000,86.33,1.23,https://www.dunkindonuts.com/,196800,3.34,242064,0.07,29900000,8/30/2020
6,dunkin near me,1,1,90500,85.14,2.68,https://www.dunkindonuts.com/en/locations,72400,1.23,194032,0.01,29700000,8/30/2020
7,dunkin donuts hours,1,1,74000,84.41,1.19,https://www.dunkindonuts.com/en/locations,59200,1.0,70448,0.0,31800000,8/30/2020
8,dunkindonuts,1,1,60500,91.29,2.27,https://www.dunkindonuts.com/,48400,0.82,109868,0.1,16400000,8/30/2020
9,dunkin menu,1,1,49500,87.88,1.73,https://www.dunkindonuts.com/en/menu,39600,0.67,68508,0.0,28200000,8/30/2020
10,donuts near me,7,7,673000,80.79,2.62,https://www.dunkindonuts.com/en/locations,26920,0.45,70530,0.08,294000000,8/30/2020
11,dunkin donuts near me,2,2,823000,83.58,2.32,https://www.dunkindonuts.com/en/menu,21398,0.36,49643,0.01,85,8/30/2020
12,nearest dunkin donuts,1,1,27100,84.68,1.63,https://www.dunkindonuts.com/en/locations,21680,0.36,35338,0.01,31900000,8/30/2020
13,donuts near me,8,0,673000,80.79,2.62,https://www.dunkindonuts.com/,20190,0.34,52897,0.08,294000000,8/30/2020
14,dunkin donuts nutrition,1,1,22200,83.21,0.0,https://www.dunkindonuts.com/en/menu/nutrition,17760,0.3,0,0.0,0,8/30/2020
15,dunkin donuts delivery,1,1,22200,86.08,1.97,https://www.dunkindonuts.com/en/dunkin-delivers,17760,0.3,34987,0.39,18900000,8/30/2020
16,dunkin donuts coffee,1,1,22200,89.46,3.91,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-coffee,17760,0.3,69441,1.0,16900000,8/30/2020
17,dunkin donuts near me,3,0,823000,83.58,2.32,https://www.dunkindonuts.com/,14814,0.25,34368,0.01,85,8/30/2020
